id,texto,etiqueta
1,"La UMSNH suspenderá clases mañana por mantenimiento en redes eléctricas. Comunicado oficial en página institucional.",1
2,"Confirmado: El examen de admisión será presencial en las instalaciones de Ciudad Universitaria el próximo sábado.",1
3,"La Facultad de Ingeniería Química anuncia conferencia con premio Nobel este viernes a las 10 AM. Entrada libre.",1
4,"Se abrió convocatoria de becas CONACYT para posgrado. Consulta requisitos en la coordinación de investigación.",1
5,"El rector de la UMSNH participará en foro nacional sobre educación superior organizado por la SEP.",1
6,"AVISO IMPORTANTE: Mañana no habrá clases porque el gobierno cerrará todas las universidades por elecciones!!",0
7,"URGENTE: La UMSNH regalará 500 laptops a los primeros que compartan este mensaje en WhatsApp!!!",0
8,"Comprobado científicamente: Los profesores de la nicolaita están obligados a aprobar a todos por órdenes de rectoría.",0
9,"ÚLTIMA HORA: La universidad despedirá a 200 docentes la próxima semana sin previo aviso. Fuente anónima.",0
10,"ATENCIÓN ESTUDIANTES: Habrá examen sorpresa obligatorio en TODAS las facultades este jueves. Compártelo!",0
11,"La biblioteca central amplía horario hasta las 11 PM durante periodo de exámenes finales. Válido del 15 al 30 de mayo.",1
12,"Se publicaron resultados de convocatoria para movilidad internacional. Revisa tu estatus en el portal estudiantil.",1
13,"El Instituto de Investigaciones Metalúrgicas recibe acreditación internacional por CONACYT.",1
14,"Aviso: El trámite de kardex ahora puede realizarse en línea mediante la plataforma SIIA. Mayor información en control escolar.",1
15,"La Facultad de Derecho organiza simulacro de juicio oral con participación de magistrados del TSJ este miércoles.",1
16,"CUIDADO! Van a quitar las becas a TODOS los estudiantes de la UMSNH por recorte presupuestal urgente!!",0
17,"Se viraliza video: Rector admite que los títulos de la nicolaita no tienen validez oficial. COMPARTAN!!",0
18,"Los maestros universitarios cobran ,000 mensuales mientras los estudiantes pagan colegiaturas altísimas.",0
19,"El gobierno federal cerrará la UMSNH por irregularidades en la administración. Fuente: grupo de WhatsApp confiable.",0
20,"CONFIRMADO: La universidad regresará a clases presenciales sin ninguna medida sanitaria. Todos obligados a asistir ya.",0
21,"El Centro Cultural Universitario presenta exposición de arte contemporáneo del 10 al 30 de marzo. Entrada gratuita.",1
22,"Importante: La credencial universitaria ahora puede tramitarse digitalmente. Vigencia de 4 años.",1
23,"La UMSNH firma convenio con empresa automotriz para prácticas profesionales de estudiantes de ingeniería.",1
24,"Convocatoria abierta para participar en congreso estudiantil de ciencias sociales. Inscripciones hasta el 20 de abril.",1
25,"El equipo representativo de fútbol soccer de la UMSNH clasifica a fase final del torneo interuniversitario.",1
26,"¡ATENCIÓN! La UMSNH ya NO acepta certificados de preparatoria de escuelas privadas para nuevo ingreso!!",0
27,"SE CANCELA GRADUACIÓN: Por falta de presupuesto ya no habrá ceremonia de titulación en ninguna facultad este año.",0
28,"Un alumno contagió viruela del mono en Ciudad Universitaria y quieren ocultarlo. Cierren las instalaciones YA!!!",0
29,"Los directores de facultad se aumentaron el sueldo 300% mientras reducen becas alimentarias de estudiantes pobres.",0
30,"La UMSNH venderá terrenos de CU para construir un centro comercial. Proyecto ya aprobado en silencio por rectoría.",0
31,"La coordinación de idiomas ofrece nuevos cursos de inglés, francés y alemán. Inscripciones abiertas nivel básico e intermedio.",1
32,"El programa de tutoría académica amplía horarios de atención para estudiantes de primer semestre. Agendar cita en línea.",1
33,"Se conmemora el aniversario del natalicio de Don Miguel Hidalgo con ceremonia cívica en Plaza Valladolid el 8 de mayo.",1
34,"La Facultad de Contaduría publica guía de servicio social profesional actualizada. Disponible en página oficial.",1
35,"El transporte universitario ajusta rutas y horarios por obras viales en Avenida Madero. Consulta nuevos itinerarios.",1
36,"BOMBA INFORMATIVA: Descubren fraude millonario en rectoría de la UMSNH. Auditoría revela desvío de fondos masivo!!",0
37,"Profesores de la nicolaita admiten que venden exámenes por  pesos. Denuncia anónima revela red de corrupción.",0
38,"El próximo semestre la colegiatura subirá 800% en todas las facultades. Documento filtrado confirma aumento obligatorio.",0
39,"ÚLTIMA HORA: Tiroteo en Ciudad Universitaria deja 10 heridos. Autoridades ocultan información. COMPARTAN URGENTE!!!",0
40,"Estudiantes de medicina realizan operaciones sin supervisión en el Hospital Universitario. Pacientes en riesgo extremo.",0
